test_set,Bird(m/s),Blade(rad/s),Max_TD(mm),Von_Mises_Stress(pascal),Total_Energy
1,122.5,395,0.57,1110120000,1037200
2,125,400,0.45,1093550000,1063600
3,127.5,405,0.4,1254070000,1090700
4,130,410,0.5,1113520000,1118300
5,132.5,415,0.47,1068260000,1153200
6,135,420,0.51,1059400000,1181600
7,137.5,425,0.42,1100060000,1210300
8,140,430,0.38,1081870000,1239400
9,142.5,435,0.49,1094860000,1268800
10,145,440,0.35,1160630000,1298600
11,147.5,445,0.76,1123490000,1328700
12,150,450,0.4,1145170000,1359200
13,152.5,455,0.6,1146620000,1390000
14,155,460,0.37,1151850000,1421200
15,157.5,465,0.37,1145870000,1452700
16,160,470,0.39,1153260000,1484600
17,162.5,475,0.44,1161390000,1516800
18,165,480,0.56,1163290000,1549400
19,167.5,485,0.65,1202530000,1582300
20,170,490,0.69,1174680000,1615600
21,172.5,495,0.5,1165990000,1649200
22,175,500,0.45,1161880000,1683100
23,177.5,505,0.83,1165150000,1717500
24,180,510,0.86,1170150000,1752100
25,182.5,515,0.85,1164070000,1787100
26,185,520,0.94,1165200000,1822469.44
27,187.5,525,0.81,1172436238,1858170.19
28,190,530,0.77,1174123164,1894219.01
29,192.5,535,0.74,1167648079,1930616.41
30,195,540,0.83,1196274811,1967361.38
31,197.5,545,0.84,1180292245,2004454.3
32,200,550,0.83,1276456097,2041895.55
33,202.5,555,0.92,1178792222,2079684.76
34,205,560,0.79,1175218596,2117822.04
35,207.5,565,0.82,1178381212,2156307.39
36,210,570,0.95,1195845862,2195140.82
37,212.5,575,0.92,1172689927,2234322.45
38,215,580,0.77,1172499538,2273852.04
39,217.5,585,0.72,1210150902,2313729.82
40,220,590,0.72,1178780356,2353955.55
41,222.5,595,0.73,1185711325,2394529.74
42,225,600,0.88,1216519297,2435451.88
43,227.5,605,0.75,1206243281,2476721.98
44,230,610,0.79,1209173630,2518340.02
45,232.5,615,0.76,1192822275,2560306.25
46,235,620,0.83,1200887274,2602620.45
47,237.5,625,0.84,1213662520,2645282.59
48,240,630,0.84,1226011904,2688292.94
49,242.5,635,0.78,1218856324,2731651.48
