Run,Infill Density (%),Nozzle Temperature (C),Infill Pattern,Mean Tensile Stress,Standard Deviation
1,60,260,Triangle-Hexa,14.43530556,0.198375685
2,45.8579,254.142,Grid,12.45872222,0.320792131
3,60,240,Triangle,12.67630556,0.224385121
4,74.1421,225.858,Grid,13.66944444,0.288289456
5,45.8579,222.858,Triangle-Hexa,11.08269444,0.281358917
6,60,240,Grid,13.94319444,0.231904715
7,45.8579,225.858,Triangle,9.696944444,0.285871141
8,40,240,Triangle-Hexa,10.70058333,0.231713431
9,74.1421,254.142,Triangle,17.71102778,0.219842415
10,60,240,Triangle-Hexa,12.64027778,0.44357288
11,74.1421,254.142,Triangle-Hexa,16.93594444,0.171891962
12,40,240,Triangle,9.419222222,0.147986348
13,45.8579,254.142,Triangle-Hexa,13.59477778,0.287812165
14,45.8579,225.858,Grid,8.416611111,0.158548325
15,60,240,Triangle-Hexa,14.51247222,0.596045431
16,60,240,Triangle-Hexa,14.156,0.176251508
17,74.1421,225.858,Triangle,13.66972222,0.113063404
18,74.1421,254.142,Grid,17.92236111,0.315082645
19,60,240,Grid,13.86738889,0.347900742
20,60,220,Grid,10.69963889,0.138459247
21,60,220,Triangle,10.53841667,0.169123842
22,60,240,Triangle,10.88261111,0.354124357
23,40,240,Grid,10.47625,0.316869408
24,80,240,Grid,17.44144444,0.380026725
25,60,240,Triangle,11.73647222,0.21731633
26,80,240,Triangle-Hexa,17.34141667,0.246412155
27,60,260,Triangle,13.90533333,0.196328607
28,74.1421,225.858,Triangle-Hexa,14.57280556,0.245814582
29,80,240,Triangle,18.47472222,0.219586118
30,45.8579,254.142,Triangle,12.49444444,0.207914481
31,60,240,Grid,14.26061111,0.138407338
32,60,260,Grid,14.75861111,0.339655655
33,60,220,Triangle-Hexa,12.12888889,0.176465492
